seller_id,company_name,category,country,state,monthly_revenue,orders,avg_order_value,return_rate,customer_rating,late_shipment_pct,cancellation_pct,ad_spend,conversion_rate,seller_age_months,growth_rate,repeat_customer_pct,account_manager,support_tickets,seller_tier
SLR-00163,Blue Co #163,Home & Kitchen,US,WA,15577.49,202,77.12,0.1604,4.35,0.0775,0.1487,151.55,0.0568,76,0.198,0.5666,,1,preferred
SLR-00164,Blue Supply #164,Toys,US,TX,2567.4,46,55.81,0.0345,3.65,0.043,0.0641,4440.67,0.1158,40,-0.043,0.5051,,0,premium
SLR-00165,Silver Traders #165,Automotive,US,FL,36877.32,482,76.51,0.1195,3.85,0.1064,0.0693,2365.98,0.0303,29,-0.0104,0.4562,,5,preferred
SLR-00166,Union Collective #166,Grocery,US,TX,28534.28,348,82.0,0.0442,4.47,0.0516,0.0272,3059.94,0.0778,42,-0.0463,0.2776,,0,premium
SLR-00167,Apex Works #167,Toys,US,CA,1337.19,17,78.66,0.0148,4.62,0.0745,0.0308,254.35,0.035,78,-0.0889,0.1862,,1,premium
SLR-00168,Metro Market #168,Office Supplies,US,WA,12926.94,164,78.82,0.0982,4.81,0.123,0.0095,886.4,0.0378,34,0.0358,0.3579,,1,preferred
SLR-00169,River Traders #169,Office Supplies,US,CA,37040.63,476,77.82,0.185,4.22,0.0333,0.1015,97.7,0.0154,89,-0.0231,0.5507,,0,premium
SLR-00170,Silver Co #170,Toys,DE,BY,2461.44,27,91.16,0.1795,4.81,0.0515,0.0279,484.41,0.0617,23,0.0405,0.2402,,2,preferred
SLR-00171,North Traders #171,Home & Kitchen,US,FL,27211.53,378,71.99,0.0321,3.57,0.0098,0.0728,48.86,0.05,35,0.0224,0.6863,,0,preferred
SLR-00172,Summit Mercantile #172,Sports & Outdoors,CA,BC,57197.29,680,84.11,0.0275,4.64,0.0806,0.0193,343.06,0.1214,26,0.0924,0.394,,2,premium
SLR-00173,North Works #173,Sports & Outdoors,CA,ON,5443.2,59,92.26,0.1918,4.23,0.1416,0.0105,583.57,0.0655,46,-0.0972,0.3367,,0,standard
SLR-00174,Apex Goods #174,Books,GB,ENG,2523.54,30,84.12,0.0834,4.22,0.0197,0.0379,25.39,0.0212,81,-0.0773,0.4276,,1,standard
SLR-00175,Urban Works #175,Grocery,US,CA,8171.94,105,77.83,0.0937,4.83,0.1224,0.0301,569.94,0.0787,9,0.0888,0.0943,,1,preferred
SLR-00176,Silver Co #176,Beauty,US,TX,7589.8,94,80.74,0.037,4.26,0.1306,0.0461,122.86,0.0403,81,0.0918,0.2227,,2,premium
SLR-00177,River Mercantile #177,Sports & Outdoors,US,FL,18640.29,233,80.0,0.1718,3.67,0.108,0.0692,66.85,0.1189,33,0.1123,0.3818,,1,preferred
SLR-00178,Golden Goods #178,Automotive,US,FL,2760.42,31,89.05,0.0456,3.64,0.034,0.0766,1081.86,0.0889,67,0.0961,0.4624,,4,preferred
SLR-00179,Coastal Trading #179,Home & Kitchen,DE,BY,1021.75,14,72.98,0.0934,4.61,0.0497,0.0686,1635.29,0.0628,12,0.0903,0.4044,,2,standard
SLR-00180,Silver Supply #180,Beauty,US,WA,1118.15,10,111.82,0.0742,4.48,0.0477,0.0397,166.77,0.0273,90,0.033,0.2805,,1,standard
SLR-00181,Golden Goods #181,Toys,GB,ENG,9688.76,109,88.89,0.0639,3.97,0.0171,0.0891,115.0,0.0363,41,0.0262,0.1838,,2,preferred
SLR-00182,Coastal Traders #182,Toys,US,IL,15415.63,193,79.87,0.1736,4.78,0.0421,0.0049,2807.85,0.0414,60,0.1589,0.544,,0,preferred
SLR-00183,Union Outfitters #183,Grocery,CA,BC,11230.61,150,74.87,0.1971,4.66,0.0377,0.037,1375.4,0.0884,3,0.0458,0.4022,,1,standard
SLR-00184,Silver Traders #184,Sports & Outdoors,US,CA,16729.39,181,92.43,0.0265,3.39,0.0948,0.092,168.31,0.0708,32,0.2053,0.3574,,2,premium
SLR-00185,Apex Group #185,Books,DE,BY,65429.62,805,81.28,0.1427,3.24,0.0478,0.0291,1757.65,0.1337,44,-0.0061,0.169,,1,preferred
SLR-00186,Urban Depot #186,Office Supplies,US,TX,6323.07,78,81.06,0.0225,4.45,0.183,0.0877,585.83,0.0873,39,-0.0015,0.1579,,2,preferred
SLR-00187,North Co #187,Automotive,GB,ENG,8334.71,104,80.14,0.2989,3.99,0.0667,0.0421,2233.9,0.0943,11,0.1075,0.6526,,3,preferred
SLR-00188,Coastal Mercantile #188,Home & Kitchen,US,WA,2944.26,32,92.01,0.0578,4.76,0.0666,0.0878,606.4,0.1053,49,-0.0969,0.3055,,4,preferred
SLR-00189,Blue Goods #189,Apparel,US,CA,29692.71,386,76.92,0.0661,4.38,0.0592,0.0059,681.1,0.0395,40,0.0368,0.1392,,2,preferred
SLR-00190,Union Works #190,Sports & Outdoors,DE,BY,1735.05,21,82.62,0.0526,4.22,0.0313,0.0558,8.26,0.0171,74,0.1385,0.3901,,1,premium
SLR-00191,Coastal Collective #191,Books,US,IL,7675.2,108,71.07,0.0265,4.4,0.1649,0.133,378.7,0.0265,60,-0.0544,0.4949,,0,premium
SLR-00192,Summit Group #192,Books,US,IL,22992.4,316,72.76,0.0425,4.05,0.1147,0.0065,482.52,0.0594,83,0.1099,0.4761,,2,standard
SLR-00193,North Depot #193,Office Supplies,GB,ENG,9610.36,124,77.5,0.0721,3.86,0.0537,0.045,2830.95,0.0021,16,-0.0614,0.4663,,3,premium
SLR-00194,Prime Supply #194,Electronics,US,WA,5284.48,58,91.11,0.159,4.49,0.181,0.0041,264.47,0.0366,45,0.0004,0.3499,,0,preferred
SLR-00195,Coastal Works #195,Office Supplies,US,CA,10900.91,140,77.86,0.0708,3.75,0.025,0.0804,374.79,0.0459,22,-0.1161,0.5872,,0,preferred
SLR-00196,Summit Group #196,Automotive,US,NY,34440.0,416,82.79,0.1065,4.2,0.0334,0.0917,146.95,0.0752,10,0.0344,0.423,,0,standard
SLR-00197,Urban Supply #197,Electronics,CA,ON,8035.71,109,73.72,0.065,4.29,0.0169,0.011,63.34,0.0504,52,0.0438,0.3925,,1,premium
SLR-00198,Metro Group #198,Toys,CA,ON,9572.17,114,83.97,0.0558,4.03,0.0919,0.0519,159.25,0.0174,79,-0.0203,0.6786,,2,premium
SLR-00199,Blue Traders #199,Apparel,US,WA,81218.26,1028,79.01,0.0887,3.64,0.0437,0.0159,589.12,0.1349,8,-0.0077,0.393,,0,premium
SLR-00200,Prime Supply #200,Beauty,GB,ENG,61036.48,741,82.37,0.051,4.56,0.0401,0.0034,223.35,0.0557,52,0.0613,0.5996,,3,premium
SLR-00201,Golden Traders #201,Books,US,CA,10338.16,125,82.71,0.1231,5.0,0.0584,0.0667,911.85,0.0367,9,0.0793,0.1604,,0,preferred
SLR-00202,Silver Collective #202,Toys,US,FL,6343.99,86,73.77,0.0533,3.84,0.1584,0.0282,241.56,0.0134,89,0.1135,0.7582,,0,preferred
SLR-00203,Golden Goods #203,Books,US,IL,1939.64,19,102.09,0.0673,3.32,0.1252,0.0405,1370.87,0.0394,44,0.0729,0.8052,,3,preferred
SLR-00204,Silver Market #204,Automotive,US,WA,6490.02,90,72.11,0.1731,4.75,0.031,0.0859,110.79,0.0184,27,-0.0818,0.2281,,1,premium
SLR-00205,Blue Market #205,Sports & Outdoors,US,CA,15641.28,199,78.6,0.1558,4.31,0.1096,0.0675,1992.96,0.023,94,0.0374,0.3144,,3,premium
SLR-00206,Coastal Co #206,Office Supplies,US,IL,3416.73,45,75.93,0.0613,3.95,0.0662,0.0845,1037.81,0.1048,51,0.0008,0.6399,,0,preferred
SLR-00207,Cedar Mercantile #207,Electronics,US,TX,9215.63,116,79.45,0.0561,4.02,0.0164,0.0492,650.21,0.0487,15,-0.0631,0.4604,,0,premium
SLR-00208,River Outfitters #208,Office Supplies,CA,BC,1528.59,30,50.95,0.0641,4.03,0.0432,0.02,659.15,0.0359,52,-0.0013,0.6913,,1,preferred
SLR-00209,Metro Co #209,Books,US,NY,11130.6,149,74.7,0.083,4.05,0.0873,0.0185,352.93,0.0694,5,-0.047,0.3263,,0,premium
SLR-00210,River Mercantile #210,Apparel,GB,ENG,41823.25,526,79.51,0.1243,4.0,0.0861,0.1968,335.01,0.0225,46,0.0392,0.3502,,1,premium
SLR-00211,Union Supply #211,Home & Kitchen,DE,BY,9569.3,104,92.01,0.0635,4.48,0.1302,0.0098,192.06,0.0749,74,0.0389,0.2935,,3,preferred
SLR-00212,Union Depot #212,Home & Kitchen,US,TX,11852.08,171,69.31,0.1662,4.03,0.0334,0.041,1041.68,0.0645,78,-0.0869,0.2748,,4,premium
SLR-00213,Apex Goods #213,Grocery,US,FL,13300.11,161,82.61,0.1354,3.22,0.0387,0.0185,509.98,0.064,93,0.0623,0.2455,,4,preferred
SLR-00214,Cedar Works #214,Electronics,US,CA,4150.41,46,90.23,0.14,4.32,0.052,0.0007,77.16,0.0133,50,-0.0293,0.4202,,0,preferred
SLR-00215,North Outfitters #215,Sports & Outdoors,US,WA,8641.07,84,102.87,0.1426,4.18,0.0136,0.0072,314.15,0.033,45,-0.0362,0.2017,,0,standard
SLR-00216,Metro Mercantile #216,Toys,US,WA,10266.0,103,99.67,0.0264,4.32,0.0499,0.0792,364.09,0.0198,27,-0.0156,0.2201,,1,standard
SLR-00217,Blue Mercantile #217,Beauty,US,TX,3709.96,59,62.88,0.0161,4.54,0.0384,0.0092,1361.09,0.0634,36,0.0675,0.6256,,0,premium
SLR-00218,Golden Works #218,Sports & Outdoors,CA,ON,2370.54,20,118.53,0.1619,4.15,0.0612,0.069,6049.87,0.0931,67,0.0365,0.2179,,4,preferred
SLR-00219,Blue Trading #219,Grocery,CA,ON,33841.87,426,79.44,0.0855,4.11,0.0952,0.0653,261.54,0.0357,90,0.1255,0.1632,,2,preferred
SLR-00220,North Depot #220,Toys,DE,BY,4825.7,59,81.79,0.0571,4.35,0.1572,0.1631,168.15,0.0346,34,-0.0438,0.7094,,1,standard
SLR-00221,Prime Outfitters #221,Electronics,US,TX,2631.57,37,71.12,0.3161,4.4,0.2108,0.0423,147.35,0.0334,90,-0.0625,0.248,,1,preferred
SLR-00222,North Collective #222,Beauty,US,NY,3332.57,48,69.43,0.0556,5.0,0.0776,0.0486,1511.86,0.0287,72,0.0826,0.2142,,3,premium
SLR-00223,River Trading #223,Beauty,US,WA,1695.76,20,84.79,0.0988,3.53,0.0122,0.025,804.4,0.1079,86,0.1312,0.2878,,0,standard
SLR-00224,Bright Works #224,Sports & Outdoors,CA,ON,5008.81,57,87.87,0.0446,5.0,0.2173,0.0122,283.47,0.0709,83,0.0547,0.5503,,1,standard
SLR-00225,North Depot #225,Automotive,CA,ON,2497.13,39,64.03,0.0402,3.94,0.0906,0.0501,20.41,0.0307,85,-0.0207,0.4391,,0,preferred
SLR-00226,Blue Depot #226,Electronics,US,CA,9949.59,112,88.84,0.1544,4.64,0.05,0.0239,40.18,0.0315,11,-0.0562,0.2398,,4,standard
SLR-00227,Golden Trading #227,Sports & Outdoors,CA,BC,7089.84,83,85.42,0.0927,4.64,0.0762,0.0312,2283.67,0.026,23,-0.1105,0.4291,,2,standard
SLR-00228,Golden Traders #228,Electronics,US,NY,10365.32,161,64.38,0.0414,5.0,0.0793,0.0462,199.82,0.0245,49,-0.0761,0.3563,,3,preferred
SLR-00229,Bright Mercantile #229,Electronics,US,TX,26578.49,331,80.3,0.064,4.12,0.0218,0.0136,1372.48,0.0325,31,-0.062,0.5286,,0,preferred
SLR-00230,Metro Traders #230,Toys,DE,BY,16077.98,200,80.39,0.19,4.08,0.0212,0.0031,112.28,0.0688,17,-0.1472,0.3727,,4,standard
SLR-00231,Union Group #231,Home & Kitchen,US,FL,7857.7,87,90.32,0.1493,4.4,0.0887,0.0539,748.48,0.0625,35,0.0431,0.0398,,2,standard
SLR-00232,Silver Market #232,Beauty,US,CA,10115.57,135,74.93,0.0142,4.04,0.0809,0.014,3566.95,0.0324,94,0.0062,0.1,,1,preferred
SLR-00233,Summit Goods #233,Apparel,DE,BY,14126.61,185,76.36,0.1478,4.29,0.1424,0.0588,57.37,0.0204,55,-0.0744,0.3649,,1,premium
SLR-00234,Metro Supply #234,Home & Kitchen,US,TX,8556.1,119,71.9,0.1021,4.22,0.1681,0.0162,275.22,0.0419,61,-0.033,0.6843,,4,preferred
SLR-00235,Bright Traders #235,Books,US,WA,12729.11,170,74.88,0.0726,3.79,0.0387,0.0288,782.6,0.0229,23,-0.047,0.323,,1,preferred
SLR-00236,Silver Depot #236,Beauty,DE,BY,35743.11,441,81.05,0.1778,4.24,0.041,0.0522,87.95,0.063,65,0.0101,0.4156,,0,standard
SLR-00237,Prime Group #237,Home & Kitchen,US,IL,2368.95,30,78.96,0.3009,4.95,0.0511,0.027,629.59,0.0124,86,0.0733,0.2849,,1,preferred
SLR-00238,Coastal Outfitters #238,Grocery,US,IL,3728.31,45,82.85,0.1099,4.14,0.0336,0.0462,1461.97,0.0605,65,0.021,0.3284,,6,preferred
SLR-00239,Golden Outfitters #239,Electronics,GB,ENG,2881.85,37,77.89,0.0198,4.73,0.0398,0.0262,2540.84,0.0673,50,-0.0092,0.4881,,2,preferred
SLR-00240,Summit Works #240,Home & Kitchen,CA,BC,10734.58,122,87.99,0.0391,4.84,0.0348,0.1755,215.45,0.0824,77,0.0486,0.3817,,4,premium
SLR-00241,Summit Trading #241,Electronics,DE,BY,13471.05,154,87.47,0.0915,4.18,0.0515,0.0474,2430.6,0.0486,4,0.0224,0.3151,,0,premium
SLR-00242,Blue Goods #242,Toys,US,CA,51955.21,660,78.72,0.1134,3.75,0.0765,0.0104,98.62,0.1059,30,-0.0001,0.7483,,3,standard
SLR-00243,Urban Goods #243,Electronics,US,IL,4634.35,68,68.15,0.0857,4.32,0.0347,0.0353,869.48,0.0259,50,0.0328,0.685,,1,standard
SLR-00244,Golden Goods #244,Automotive,US,NY,8888.27,96,92.59,0.0819,4.66,0.072,0.0089,933.39,0.0462,57,-0.0319,0.2017,,0,standard
SLR-00245,River Traders #245,Books,US,IL,4304.15,45,95.65,0.0424,3.95,0.0237,0.0198,5229.8,0.041,4,-0.1032,0.5191,,2,standard
SLR-00246,Union Goods #246,Books,US,NY,6382.46,78,81.83,0.0858,3.66,0.0318,0.0709,856.96,0.0498,53,0.1048,0.2145,,0,standard
SLR-00247,Union Works #247,Office Supplies,US,NY,2716.93,40,67.92,0.1271,4.49,0.1366,0.0245,98.38,0.0155,5,0.0948,0.3383,,2,premium
SLR-00248,Apex Collective #248,Electronics,CA,ON,29015.1,365,79.49,0.0111,4.17,0.2865,0.0094,2515.68,0.0404,79,-0.0945,0.1102,,1,premium
SLR-00249,Prime Supply #249,Apparel,US,TX,22133.06,273,81.07,0.0416,4.72,0.0182,0.1011,1344.17,0.0711,2,-0.023,0.2948,,1,preferred
SLR-00250,Apex Market #250,Automotive,US,WA,12680.29,167,75.93,0.0053,3.19,0.04,0.0173,122.96,0.0239,69,0.0927,0.1735,,2,premium
